name	fullname(JP)	fullname(EN)	ID	realname(JP)	dangerlevel	VF(JP)	sex	age	birthday(MM-DD)	family	height	hometown	remarks(JP)
デビー	デビー・カールソン	Debi Karlsson	23M-RFT68	デビー・カールソン	D	相互VF増幅、身体強化	F	20	06-11	father	164	Sweden(G)	["https://playeternalreturn.com/posts/news/1258", "https://playeternalreturn.com/posts/news/1267"]
マーリン	マーリン・カールソン	Marlene Karlsson	23M-RFT69	マーリン・カールソン	D	相互VF増幅、身体強化	F	20	06-11	father	164	Sweden(G)	["See Debi."]
ナタポン	ナタポン・リアムライ	Nathapon Liamlai	17M-RFT30	ナタポン・リアムライ	E	カメラの機能を実現する能力	M	24	06-22	father, mother	175	Thailand	[]
ナディン	ナディン・チャンドラウィナタ	Nadine Chandrawinata	14M-RFT10	ナディン・チャンドラウィナタ	D	身体強化と野生との交感	F	21	07-16	adoptive father, adoptive mother	178	Indonesia	[]
ニア	ニア・ヘラー	"Nia ""NiaH"" Heller"	25M-RFT84	ニア・ヘラー	B	想像の具現化および現実操作	F	19	09-12	father	148	France(G)	["https://playeternalreturn.com/posts/news/2670"]
ニッキー	ニッキー・ブレーク	Nicky Blake	20M-RFT43	ニッキー・ブレーク	D	感情による身体強化	F	19	08-08	father, mother	157	Australia	[]
ハート	ハート・フロイド	Hart Floyd	16M-RFT22	ハート・フロイド	E	音粒子の増幅および神経系への干渉	F	23	08-31	father, younger brother	175	USA	[]
バニス	バニス・ボルトン	Bernice Bolton	16M-RFT26	バニス・ボルトン	D	身体強化、五感増幅	M	42	02-14	none	173	South Africa	[]
バーバラ	バーバラ・エレンバイン	Barbara Erlenwein	16M-RFT15	バーバラ・エレンバイン	D	機械回路の把握および遠隔操作	F	36	10-13	none	165	Germany	[]
ヒスイ	ヒスイ	Hisui	24M-RFT81	ヒスイ	D	剣の元の主が持っていた技や能力を真似る力	F	18	01-02	none	164	Japan(G)	["https://playeternalreturn.com/posts/news/2362"]
ヒョヌ	ジャン・ヒョヌ	Hyunwoo Jang	14M-RFT04	ジャン・ヒョヌ	D	身体強化	M	17	09-08	father, mother	174	Korea	[]
ビアンカ	アピチャヤ・チャイパタマ	Apichaya Chaipattama	20M-RFT45	アピチャヤ・チャイパタマ	E	血液操作	F	17	01-09	father, mother, older brother(2)	149	Thailand	[]
ビヒョン	ビヒョン	Bihyung	26M-RFT91	ビヒョン	E	身体強化、トッケビの力、神力の使用	F	19	05-25	grandmother, father, mother	171	Korea(G)	["https://playeternalreturn.com/posts/news/3545", "https://playeternalreturn.com/posts/news/3550”, “https://playeternalreturn.com/posts/news/3565"]
ピオロ	ピオロ・バレステロス	Piolo Ballesteros	22M-RFT59	ピオロ・バレステロス	E	身体強化	M	20	07-23	none	172	Spain(G)	[]
フィオラ	フィオラ・ペレリン	Fiora Pellerin	14M-RFT02	フィオラ・ペレリン	E	身体強化および弱点捕捉	F	24	06-10	mother	158	Italy	[]
フェリックス	フェリックス・グリーン	Felix Green	22M-RFT53	フェリックス・グリーン	E	身体強化および敏捷性増幅	M	20	05-07	none	175	N/A	[]
フェンリル	フェンリル	Fenrir	26M-RFT89	フェンリル	D	身体に融合した機械操作	M	3	10-04	none	160	N/A	["https://event.playeternalreturn.com/ER/CHARACTER&SKIN?hl=ja-JP","https://playeternalreturn.com/posts/news/3323", "https://playeternalreturn.com/posts/news/3335"]
ブレア	ブレア・アッシュ	Blair Ash	25M-RFT87	ブレア・アッシュ	D	身体能力強化、VF能力者追跡	F	24	04-08	father	170	UK(G)	["https://playeternalreturn.com/posts/news/3096"]
プリヤ	プリヤ・パンデイ	Priya Panday	22M-RFT54	プリヤ・パンデイ	E	VF周波数による植物操作	F	17	03-04	grandmother, father, mother, older brother(2), younger sister	163	India	[]
ヘイズ	ヘイズ	Haze	22M-RFT61	(抹消)	C	物体の保存および召喚	F	20	11-14	father, mother	169	N/A	[]
ヘジン	イ・ヘジン	Hyejin Lee	14M-RFT12	イ・ヘジン	E	神気運用・厄運転嫁	F	18	10-30	grandmother, father, mother	163	Korea	[]
ヘンリー	ヘンリー・コンスタン	Henry Constant	25M-RFT86	ヘンリー・コンスタン	B	局所的な時間歪曲	M	120	04-18	wife(dead)	173	UK(G)	["https://playeternalreturn.com/posts/news/2976", "年齢は最低の推定値"]
マイ	トラン・クィン・マイ	Trần Quỳnh Mai	16M-RFT34	トラン・クィン・マイ	E	VFによる衣服強化	F	20	11-29	father, mother	166	Vietnam	[]
マグヌス	マグヌス・スコット	Magnus Scott	15M-RFT18	マグヌス・スコット	C	身体強化および硬化	M	34	04-30	none	192	USA	[]
マルティナ	マルティナ・ロッセリーニ	Martina Rossellini	22M-RFT60	マルティナ・ロッセリーニ	D	光の屈折像の蓄積および歪曲・増幅	F	42	05-03	none	171	Italy	[]
マーカス	ビル・マーカス・カールソン	Bill Markus Karlsson	22M-RFT56	ビル・マーカス・カールソン	D	身体強化および筋肉の肥大化	M	28	04-20	none	203	N/A	[]
ミルカ	ミルカ	Mirka	25M-RFT88	ミルカ	D	衝撃吸収	F	24	03-20	younger brother	149.6	N/A(G)	["https://playeternalreturn.com/posts/news/3201", "https://playeternalreturn.com/posts/news/3201", "https://event.playeternalreturn.com/ER/CHARACTER&SKIN?hl=ja-JP", "生物学的な誕生日は不明"]
ヤン	ヤン・レイカルト	Jan Rijkaard	18M-RFT35	ヤン・レイカルト	D	身体強化および身体高揚	M	25	02-20	father, younger brother	188	Netherlands	[]
ユスティナ	ユスティナ・イスクラ	Justyna Iskra	25M-RFT82	ユスティナ・イスクラ	C	VFエネルギー放出・投射	F	18	07-28	father, mother	159	N/A	["https://playeternalreturn.com/posts/news/2499"]
ユミン	ユミン	Yumin	24M-RFT80	ユミン	E	気流操作	M	21	05-29	none	182	N/A	["https://playeternalreturn.com/posts/news/2218"]
ヨハン	ハン・ジョンミン	Jeongmin Han	21M-RFT47	ハン・ジョンミン	E	VF活性促進および浄化	M	30	01-31	mother	174	Korea	[]
ラウラ	セレネ・ネレア	Selena Nerea	21M-RFT49	セレネ・ネレア	C	柔軟性の強化および瞬間機動	F	27	06-05	none	171	Spain	[]
ルク	ルク	Luke (Łuk)	18M-RFT36	ルカシュ・レヴァンドフスキ	B	身体強化およびサイコメトリー	M	27	02-29	adoptive father	177	Poland	["誕生日は虚偽"]
ルチア	ルチア・ジェンマ・ディ・フェランテ	Lucia Gemma di Ferrante	26M-RFT93	ルチア・ジェンマ・ディ・フェランテ	D	特定物質の生成とコントロール、VF放出	F	18		father, older sister, older brother(2)	147	Italy(G)	["https://playeternalreturn.com/posts/news/3758", "https://playeternalreturn.com/posts/news/3765", "https://playeternalreturn.com/posts/news/3777"]
レオン	レオン・アスキン	Leon Askin	15M-RFT17	レオン・アスキン	E	水分の構成および操作	M	25	07-22	father, mother, older sister(2)	188	Australia	[]
レニ	ヘレナ・ローゼンタール	Helena Rosenthal	23M-RFT72	ヘレナ・ローゼンタール	E	思考内の物体の具現化、成長抑制	F	16	05-09	father(missing)	145	Germany(G)	["https://playeternalreturn.com/posts/news/1506", "https://playeternalreturn.com/posts/news/1539"]
レノア	レノア・ラング	Lenore Lang	24M-RFT78	レノア・ラング	A	音を媒介としたVF放出	F	26	12-31	none	170	USA(G)	["https://playeternalreturn.com/posts/news/2010"]
レノックス	レノックス	Lenox	17M-RFT32	ベロニカ・ルッソ	E	身体強化およびVF外部可用	F	26	10-27	none	170	Austria	[]
ロッジ	ロッジ	Rozzi	18M-RFT37	イザベラ	D	身体強化、火器の火力上昇	F	20	03-14	unknown	165	Brazil	["実際の誕生日は不明"]
ヴァーニャ	ヴァーニャ・ナボコバ	Vanya Naboova	23M-RFT67	ヴァーニャ・ナボコバ	C	幻想を蝶として具現化する能力	F	16	02-02	father, mother	158	N/A	[]
彰一	東 彰一	Azuma Shoichi	16M-RFT23	東 彰一	D	敏捷性強化	M	33	03-15	grandfather, grandmother, wife(dead), daughter	179	Japan	[]
莉央	南 莉央	Minami Rio	19M-RFT41	南 莉央	E	身体強化および的中能力	F	18	12-15	father, mother, older sister	166	Japan	[]
雪	佐藤 雪	Sato Yuki	17M-RFT31	佐藤 雪	E	身体強化および安定維持	M	18	01-01	father, mother, older sister	171	Japan	[]
